,0,1,2,3,4,5,6,7,8,9
0,0.20339388,0.2804437,0.42894527,0.39287722,0.8541722,-1.7554724,1.0994818,-0.5984208,-1.6214011,-0.0104959905
1,0.56950456,1.7422931,-0.43663356,0.29080635,1.1233523,-1.8211205,0.86227494,0.10786633,-0.9982537,0.08468577
2,-0.6072595,0.762994,-0.66536367,-0.35159528,0.29772162,-1.4073154,0.08717078,-0.51431,-0.6303623,1.4863437
3,-0.8814672,0.45593226,1.7397889,-0.3438809,-0.38050443,0.26295155,-0.9305056,-0.30278406,0.1925864,1.3968763
4,0.028059542,0.7376852,1.3701605,0.82174844,0.123580575,0.70127577,0.10934591,-0.39320114,0.9178566,1.6502835
5,0.7697508,-1.2102809,0.44812104,0.4293962,-1.3686565,-0.92608035,1.0283895,0.39951673,-1.2945756,0.769899
6,0.7508951,0.18684065,0.7724465,-0.2880458,0.06437695,-1.6138163,0.206554,-0.10015611,-1.5388622,-0.058457613
7,0.15623963,-0.48512894,-0.6543219,1.1687231,-1.0670108,-1.17957,0.41524583,-0.23378278,-1.2907915,0.40532383
8,0.0127878785,-1.028043,0.18142363,-0.4361356,0.46753085,-0.02821958,0.13905853,0.78213704,0.8026414,-1.8355995
9,0.4525178,0.11882937,0.36397743,0.22922403,0.43945765,0.055242598,0.06989735,-0.113566324,0.6020894,-2.045685
10,-0.5050907,-0.0730263,-0.22591922,-0.22516209,0.20023704,0.31641763,-0.9898451,0.12750624,0.46421713,-1.4465649
11,0.04596603,-1.4233792,-0.09709707,-0.78725064,0.537313,0.08197117,0.67633015,-0.32440975,0.7312908,-1.1095275
12,-0.33491427,0.441842,-1.9963087,-0.11654985,0.31129038,0.43016058,0.20291013,-1.0290197,1.0082904,-0.2333525
13,-1.5445197,0.4127165,-0.9827602,0.13501132,-0.4868616,1.7550056,-1.4661813,-0.5528363,-1.9679651,-0.6372514
14,0.6775444,-0.042825818,-0.5229367,0.043617427,-0.9966049,0.93972236,1.406153,0.12014027,0.6200384,0.9909935
15,-1.200494,0.32683808,0.5706866,0.4232065,0.7943237,-1.6884909,0.39522332,0.025624614,-0.9058795,0.31214103
16,-0.69313896,-0.69823736,-0.2925599,-0.7415508,0.67833936,-0.07259399,-0.8491982,-0.38747424,0.8230094,-1.0706768
17,-0.80105454,-0.32062972,0.053707182,-0.34545034,0.63477063,0.22797912,-1.7320931,-0.70278764,0.96092165,-1.1232144
18,0.5303734,-0.88025147,1.3287265,-0.9786678,-0.24501562,-0.34266335,0.77055746,0.8215977,1.1107124,-1.288831
19,-0.28639996,0.033090085,0.7525114,-0.4569314,0.13425589,-1.7306798,-0.8658314,0.5202968,-1.0908132,0.41436997
20,-0.051860094,-0.28160435,-0.72623444,0.3163594,-0.030326843,-1.4158022,-0.5074321,-0.06809686,-2.36129,0.9252204
21,0.29775077,0.37070614,0.5045834,0.21839756,0.08029425,-1.8468956,0.05981615,0.03971381,-1.0980994,0.33097318
22,0.70272976,1.1610615,-1.4295652,-0.1591169,1.8143702,-1.9001772,-0.022582024,-1.3568188,-1.4526601,0.31072268
23,0.028527796,0.3587433,-0.43561503,-0.19338882,0.3129685,-0.26625472,0.06059867,0.9830812,0.9509008,-1.7805313
24,-0.15620685,-1.253283,1.1174996,-0.9189177,0.13397098,-0.09525943,0.75070244,-0.32499236,0.667835,-1.0214584
25,0.14273196,0.2519647,0.29997984,1.1248248,-2.8803601,1.0532684,0.21327358,1.7259918,0.7408711,0.17675272
26,1.0490074,-0.8027218,-0.6422124,-0.48903844,0.96741486,0.11745626,-0.21423918,-0.77995783,0.9898263,-1.0016198
27,-2.952726,0.3386733,2.842162,0.93215734,1.6578536,-0.86191475,0.8144911,2.8388166,-1.509018,-0.10022578
28,1.0819225,0.23830524,-1.0659639,0.15100235,-0.8209435,-1.2459627,-0.36133146,0.7741469,-0.66746044,1.0017909
29,0.04817182,0.25379393,-0.71845746,-0.49110454,-3.424193,0.5711643,1.6587999,-0.033455227,-0.8664026,0.41041586
30,0.06018144,0.29909396,-0.13074276,0.45035046,0.16372931,-0.10209721,-0.86783886,-0.15809254,1.1952622,-1.1265471
31,-0.41406944,0.90688276,-0.18937,-1.1389921,-0.06347525,1.2963922,-0.91638774,-0.69929117,-2.106172,-0.61175317
32,-0.400882,-0.40002948,-0.375766,1.0503418,-0.090133786,0.055280566,0.4818731,-0.76470655,1.2781093,-1.2095466
33,1.0212667,-1.3324878,-0.83972704,-0.28995818,0.10820019,0.37657303,-0.0032354891,0.09821536,0.5224552,-1.2038426
34,-2.6395483,0.71893084,1.6924514,0.63649625,-1.5214834,1.7018907,-0.5868727,-1.2486782,-1.651864,1.062961
35,0.24208015,-0.1485548,0.39989966,-0.3583472,0.78081393,0.048424065,-0.72832406,-0.043642487,0.61504805,-1.9962026
36,-0.63844323,0.41208327,-2.2233803,0.5789779,0.5015218,0.98030144,0.8192807,-1.4792895,0.64245725,0.56979775
37,-0.30772227,-0.16815281,0.48426563,-0.24301422,0.23600984,-0.20267588,-0.6673937,0.21075748,0.9205743,-1.32956
38,1.0708292,-0.39495802,0.5722548,-0.98009485,-0.7274734,-0.0010996461,1.3792753,0.24829309,0.87203085,-1.2323914
39,0.6851948,0.19400413,0.5096055,0.51002663,-0.45012987,-1.5934958,0.11030054,-0.07801087,-1.2784913,0.17669311
40,0.13369054,0.25625578,0.7762407,0.311338,-0.4276901,-1.5604532,-0.17051461,0.60083145,-1.4685345,-0.4753207
41,-0.753863,0.35367692,2.1194303,1.0967064,0.64246786,0.48300594,-0.58836037,-0.41501558,0.5022664,1.3768682
42,0.2984329,-0.18026263,-0.124628216,-0.11900675,0.78242826,-0.18498915,-0.1118803,-0.6005399,0.7476995,-1.77466
43,-0.33372945,0.44962126,-1.7829884,0.7480256,-2.4649916,0.07546669,2.3836904,0.6185933,-2.0599465,0.4585304
44,0.022587359,-0.21021897,-2.1628573,1.1952958,1.0662806,0.15227085,0.6753815,-0.40453607,1.3979399,-0.4294449
45,0.99995667,0.33055383,-0.03431827,-1.0726825,0.3994738,0.48287052,-0.5162903,0.15645732,0.71922994,-1.258149
46,0.16999483,-0.11859113,-0.71492755,1.3937831,-0.84070396,-1.1751375,0.95501333,-0.8716792,-1.0973246,0.4292563
47,-0.049527407,-0.2207824,-1.275259,-1.4130049,0.37283123,-0.1602081,-0.8156643,-0.101045,0.9642004,-0.77303165
48,-0.3327723,0.2932805,-1.0298756,0.007831097,-0.24932224,0.29610223,-1.0023448,-0.3737022,1.1494259,-0.7359241
