,0,1,2,3,4,5,6,7,8,9
0,-0.8339755,-0.53397787,0.3437032,-0.64479196,-1.2722572,-0.08980662,-0.4724554,0.83498436,0.5372702,1.1128752
1,-0.8585201,-0.23470765,0.68072766,1.7449247,-2.0501785,0.5054615,-0.97594285,-0.017758965,0.45513082,-1.0542217
2,0.3253494,-0.21119595,-0.07736254,0.14508927,0.5316126,0.7550114,1.2756319,-1.1353357,-0.1366184,1.089709
3,1.8760014,-0.46371913,-1.2160058,-1.8317543,-1.1818633,-0.7162599,-0.7809342,-1.6042204,-0.6613184,-0.14268076
4,-0.00066810846,-1.2302585,-0.8626341,0.77037627,-0.082984895,-0.14583331,0.18222463,-0.91862196,-0.30632547,0.6283739
5,-0.68839335,-0.3740819,0.7562137,-0.12252092,-0.36773393,-0.45977068,-0.68663,1.5273137,-0.5684367,1.0585217
6,0.0016593933,0.36798078,-0.6767027,-0.4618982,1.9262375,-0.34037852,-0.31921738,1.0681171,-0.81356347,-0.648391
7,0.25746185,-0.18173355,-0.3918876,-0.5743612,0.59852624,-1.1093403,-1.1086799,-0.9945044,-0.5846474,-0.42351258
8,-0.2785079,-1.743473,-1.2037573,0.79283786,-0.37279347,-0.15756172,-0.54077256,-0.54891294,0.13588613,0.70868206
9,0.22313565,0.074953616,-0.36325318,-0.27054155,0.7429323,-1.6768707,-0.56270176,-0.9518675,-0.7194037,-0.7301036
10,-0.0691995,0.35752732,0.017414033,-0.8839177,-0.703508,0.1163916,0.9443737,1.1879888,-0.4835074,1.5461172
11,-1.5383005,0.7208125,1.6830075,-0.5244671,-0.7581564,-1.0915899,-0.07951617,-0.11587271,-0.50499964,0.8341701
12,-1.9365296,-0.03670299,-0.60020345,1.632353,0.40349275,-1.0909257,2.574582,2.6016943,1.7365597,-1.8797015
13,0.03954506,0.50309426,-0.6541249,-0.09953511,1.772598,-0.8879373,-0.15198189,0.36332947,-1.3607569,-0.689983
14,0.7943447,-1.0445185,0.57329535,-0.6019759,-0.1318483,-1.2120976,-1.9063548,-0.61408305,-0.07820517,0.034419954
15,-0.4576357,-0.81327343,0.5611068,-0.3910041,-0.00942415,1.0898368,1.2271491,-0.2525679,0.25803274,0.8552717
16,-2.1315584,1.3397963,1.724597,0.1252839,-0.013453931,0.1810562,-0.6535817,0.7186149,-0.7422117,0.55631995
17,-0.45465633,-0.29894632,-1.5137742,-0.8501396,0.58785677,-0.3945511,0.29640085,-0.19280046,2.497219,1.3031623
18,0.12732059,0.51852995,-0.55109876,-0.49221134,1.81988,-0.1715222,-0.13727194,0.21060556,-0.8597431,-0.6078013
19,-1.3213544,0.8370393,0.80387425,-1.0384878,-0.9111755,-0.4264683,-0.6387966,-0.1825206,-0.41976628,0.99986005
20,-0.5153595,-0.39404148,0.15900177,-0.09456432,0.49694076,0.44515878,0.7028843,-0.44792816,-1.6314152,1.0563477
21,-1.4228511,0.70373946,-0.56274194,0.5004965,-0.724275,0.58256,-0.7534592,1.0773246,-0.3169359,0.8756803
22,0.2250058,-0.3432717,1.3842561,0.11143017,0.3849293,1.4956782,0.25010443,0.0073466003,-0.8138879,1.3904992
23,2.63301,0.9514138,0.059048355,-0.22875082,1.1036792,-1.5770285,0.8556336,-0.43776232,-1.1308193,-1.2274348
24,0.13538796,0.69470435,-0.5745105,0.3805861,1.626511,-0.23933601,-0.9123912,0.25241464,-0.90398324,-0.2691896
25,0.8088946,0.32581884,-1.9472129,-0.29366302,1.8550858,1.5536115,-1.2527151,0.5298329,1.1605768,-0.38529444
26,-1.6988978,1.2661936,1.1065507,-0.12381852,-0.5218266,1.3273818,-0.09263718,1.4473615,0.5007378,0.5010515
27,-0.5748639,-0.33840716,-1.4521477,2.1958122,-0.255088,-0.0009191632,-0.16556403,0.761879,1.1575891,0.7088994
28,0.18442386,0.62731236,-0.50614494,-0.28648174,1.4169415,-1.4044147,-0.31574023,0.0050190687,-0.005111873,-0.24359024
29,0.16557354,0.27886063,0.97733337,1.8708192,-1.9072782,0.67955095,-1.5733635,0.9711614,0.47246182,-2.0140195
30,0.7495906,-0.104360044,-0.04553455,-0.7857536,0.20249723,-0.8923789,-1.4397445,-0.7552098,0.21802706,-0.25102258
31,-0.59586746,-0.7740574,0.70552516,1.9240179,-1.7171735,1.883923,-0.7485826,0.8832746,0.1368022,-1.7240988
32,-0.86141694,0.640945,-0.24195558,0.19729245,-1.5511407,0.06810969,-1.1138418,0.6489716,1.3508815,0.6027553
33,0.28091103,0.64428943,-0.4141683,0.2682678,1.487692,-0.69138503,-0.6623628,0.079443514,-1.425411,-0.5546485
34,1.6580062,-1.5564945,-2.2675388,-1.3207494,-2.7455337,0.098587096,-0.7185368,0.35190833,-2.703432,-1.9729377
35,0.14871794,-0.778926,0.61053956,-0.33675134,0.12889248,0.39611322,1.0322136,-1.4234788,-0.43912128,0.98696905
