,0,1,2,3,4,5,6,7,8,9
0,0.7989363,-0.44948867,-0.17147821,-0.3533312,-0.28710055,2.4250093,0.01289171,1.3904829,-1.7067498,0.45720005
1,0.38908815,-0.4375319,-0.69304204,-1.1715082,-0.4459867,-0.9761894,0.3944304,0.5789988,-0.56346416,-0.7547361
2,0.48020226,-0.009768307,-1.0649456,-0.56182176,-0.82215005,-0.366674,0.44563484,0.3143074,1.0093277,-0.39478016
3,0.7228686,0.40090406,-0.5438799,0.63663894,0.37327844,-1.0074123,0.6495927,-0.07051784,0.63787806,-0.34477314
4,-0.50016195,-0.067530125,1.3041434,0.8721738,0.32445598,1.0106313,-0.31412786,-0.18058366,0.42789438,-1.5401695
5,-0.30458087,-1.3029552,0.085237086,0.43391758,-0.65821755,-0.32356405,0.5668047,-0.13242787,1.6359286,1.6149275
6,0.11643267,-0.4243229,-1.0040516,0.6636391,-1.4514515,-0.7051903,-0.19329226,0.84823656,0.1325911,0.045370743
7,-0.71654415,-0.143237,1.0822682,1.1128516,0.25707498,1.4358081,0.0062945485,-0.16616565,0.34880176,-1.0793474
8,-0.14814293,-0.7950233,0.11912426,-0.028982565,-0.91647834,-1.2557539,0.677355,0.17417943,1.3263158,1.3726813
9,1.4230614,1.1971791,-0.7266582,2.5619798,-1.1778688,0.2746737,1.7806501,-0.5751448,0.80625176,-0.13944292
10,0.17440039,-0.09355906,-1.0127492,1.1732967,-1.6017008,-0.5873728,-0.5228343,-0.58502847,0.50884855,-0.3956656
11,2.5700567,-1.3055607,0.6543615,0.5968058,-2.311522,0.9322467,-0.9475546,3.1320584,-0.497727,-0.13798861
12,-1.0946026,-0.30701637,1.6523627,0.879087,-0.81869036,0.55044186,-0.76341796,-0.3645987,0.70960677,-1.4293851
13,0.46098322,0.8387035,-0.5086619,0.42853525,-0.90543437,-0.16523194,-0.5924833,-0.3289798,0.81148624,-0.109442644
14,-0.16809428,-1.1745374,1.6301037,1.1961058,-0.057733946,0.43819284,0.009893894,-0.75434643,0.13633361,-1.0480778
15,-0.06263068,0.27446866,-0.9271182,0.28205207,-1.5145693,-0.34331238,0.10300875,0.63999975,-0.2945165,0.053567708
16,0.345276,-0.031671166,-1.2065773,-1.2071098,0.580097,-0.07924312,1.0672673,0.58300173,0.58739865,-0.4094091
17,0.85157865,2.698226,0.29806027,0.9991152,3.2265418,-0.5540434,0.530742,-0.005177796,3.0367744,-0.08143191
18,-1.1247759,-0.627875,1.416642,-0.037108317,-0.4842397,-0.056576073,-0.706751,-0.43739074,0.85264945,-1.0729448
19,0.07092291,1.6246079,0.09388992,1.0990379,0.3230745,-1.633806,-0.3299328,-0.40313798,0.93793786,0.3485719
20,1.1522083,-0.6557379,-1.4544623,-0.8188578,1.319186,0.26633084,-0.8377366,0.7124381,-0.3296029,-1.2944375
21,-0.34797156,-0.057447523,-0.98574984,0.18834552,0.14480886,-0.5639961,0.32950932,0.12903333,1.0863338,0.014847457
22,0.39608032,-1.788975,2.298063,-0.058929354,0.37648356,-0.59402454,0.18988025,0.20289505,-1.10613,-0.95430696
23,-0.45149988,0.22900862,-1.1528904,1.2358503,0.0028155446,0.38748634,0.6029091,-0.1419667,0.7405194,-0.37347576
24,0.9621888,0.3737901,-1.1838267,0.956553,-0.02066505,0.35222363,1.902244,-0.090129256,0.12919447,-0.22789201
25,-0.49009186,2.0577402,0.13418105,0.25518852,0.7271895,-0.84974885,-0.3307572,0.3339667,-0.019634068,-1.0423961
26,-0.08888054,-0.086975366,-1.1121831,-0.09456259,-1.3603535,0.04571396,-0.031339586,0.81561,0.22741237,0.10146007
27,-0.09380987,-0.16174379,-1.0922397,-0.38220167,-0.670857,-0.33644104,0.66784614,0.86270875,1.3281779,-0.4696436
28,-1.0162089,0.662439,1.2932965,0.35419133,0.17922023,0.107593894,1.574666,1.379031,-0.56914383,-0.7092045
29,1.1135664,-0.052735806,2.4265554,1.2869376,-0.09404869,0.622815,-0.26640928,-0.67744786,1.7384555,-2.7964854
30,2.7450829,-1.2711536,0.471844,0.6401859,-1.1349921,1.1204349,-1.6275206,2.9178863,-1.7713757,-0.17911287
31,0.52155995,1.3687699,0.21175295,1.4882554,0.38859755,-1.8498018,0.16913861,-0.39809078,-0.12116325,0.3382485
32,1.5071027,0.19002461,-0.24159458,-0.36142236,-0.58652425,-0.6028221,1.9370083,-0.5103492,-0.9072678,-0.27764016
33,-1.0677474,-0.8658238,1.1820071,-0.43713766,-0.16049284,0.29440284,-0.12628037,0.39661375,-0.47195926,-1.1363145
34,-0.08982563,-1.6059805,0.800315,-0.44464839,1.4007857,0.73634577,1.9024856,0.49377108,-0.0949561,-0.72281194
35,0.34596807,-0.49653384,-1.1123629,0.7412863,-0.6658215,-0.6828972,0.03368509,0.67539823,-1.0415066,-0.08119522
36,-0.8261917,-0.21915823,0.95175326,2.1195917,-1.1137592,0.08441794,0.47876522,0.8159873,0.4974436,-1.6353674
37,-1.5412171,-0.42929956,1.0501916,-0.003559254,-0.73998576,0.7371793,0.1550526,-0.35966378,-0.015693039,-0.53169334
38,0.11333299,-0.18799144,-0.89312685,0.20003065,-0.29097056,-0.9617255,-0.09390777,-0.0054593086,-0.5801006,-0.93673575
39,0.7629712,-1.2730315,1.5548949,0.17541656,-0.84605247,-0.54606026,0.3295546,-2.1013477,0.32731423,-1.1421328
40,-1.2578129,0.41035944,1.0422328,1.184606,0.18687055,0.12280738,0.7438842,3.2001014,-1.2303766,-0.09119904
41,-0.902058,1.642974,2.4158607,-0.5232217,-1.4204032,0.49620223,-0.6511289,0.37960595,-1.2736835,0.58337295
42,-1.0216641,-0.8148894,0.50520515,0.7355839,-0.11133386,1.450163,-0.750553,0.2945357,-0.050884336,-0.84038234
43,0.56753665,-0.385013,-0.8269975,0.13478057,-0.252456,-0.7670614,-0.8580265,-0.40764207,-0.9512208,-0.6746727
44,3.1897812,1.5407966,1.8850514,-0.27889046,-3.0938957,0.02564621,0.6622958,2.3782258,2.654692,-1.5009634
45,-0.9356588,-1.4112276,0.8563571,0.41444588,0.38709915,0.27964318,-1.1067145,-0.2581082,0.3537406,-0.54999185
46,0.89462095,-0.69796824,-1.2428888,0.14060262,0.3612337,-1.2207165,-0.1557039,0.38767865,-1.2929019,-0.5072235
47,-0.4073531,-0.30145127,-1.3089805,1.0342704,-0.7641956,0.49425435,2.0627956,0.13397199,0.12598345,-0.093275614
48,-0.26127988,0.53379464,0.6593723,-0.50263095,0.16210961,-1.9919891,0.90772593,0.10132891,-0.030518562,0.4355998
